Inicio,Fin,,,MEPs,Duración,Tiempo en la Zona,Esfuerzo medio,Frecuencia cardiaca media,Calorías,<span style='font-size:10px'>Frecuencia cardiaca máx.</span>,Fecha,Zona 0 Minutos,Zona 1 Minutos,Zona 2 Minutos,Zona 3 Minutos,Zona 4 Minutos,Zona 5 Minutos,Zona 0 MEPs,Zona 1 MEPs,Zona 2 MEPs,Zona 3 MEPs,Zona 4 MEPs,Zona 5 MEPs,Clase,
3:29 PM,5:44 PM,Sabela cadete,7601408,489,136,112,87%,166,1601,205,2026-05-09,0,1,13,26,25,71,0,1,26,78,100,284,0

Tiempo,hr
2026-05-09 15:29,72
2026-05-09 15:30,141
2026-05-09 15:31,135
2026-05-09 15:32,128
2026-05-09 15:33,115
2026-05-09 15:34,131
2026-05-09 15:35,162
2026-05-09 15:36,172
2026-05-09 15:37,179
2026-05-09 15:38,182
2026-05-09 15:39,173
2026-05-09 15:40,179
2026-05-09 15:41,180
2026-05-09 15:42,180
2026-05-09 15:43,172
2026-05-09 15:44,177
2026-05-09 15:45,173
2026-05-09 15:46,167
2026-05-09 15:47,153
2026-05-09 15:48,149
2026-05-09 15:49,158
2026-05-09 15:50,152
2026-05-09 15:51,176
2026-05-09 15:52,177
2026-05-09 15:53,153
2026-05-09 15:54,138
2026-05-09 15:55,162
2026-05-09 15:56,178
2026-05-09 15:57,177
2026-05-09 15:58,186
2026-05-09 15:59,155
2026-05-09 16:00,136
2026-05-09 16:01,164
2026-05-09 16:02,200
2026-05-09 16:03,200
2026-05-09 16:04,190
2026-05-09 16:05,193
2026-05-09 16:06,183
2026-05-09 16:07,192
2026-05-09 16:08,193
2026-05-09 16:09,194
2026-05-09 16:10,197
2026-05-09 16:11,195
2026-05-09 16:12,168
2026-05-09 16:13,155
2026-05-09 16:14,144
2026-05-09 16:15,136
2026-05-09 16:16,144
2026-05-09 16:17,164
2026-05-09 16:18,193
2026-05-09 16:19,193
2026-05-09 16:20,183
2026-05-09 16:21,169
2026-05-09 16:22,197
2026-05-09 16:23,199
2026-05-09 16:24,191
2026-05-09 16:25,168
2026-05-09 16:26,175
2026-05-09 16:27,195
2026-05-09 16:28,196
2026-05-09 16:29,181
2026-05-09 16:30,168
2026-05-09 16:31,158
2026-05-09 16:32,175
2026-05-09 16:33,188
2026-05-09 16:34,189
2026-05-09 16:35,168
2026-05-09 16:36,177
2026-05-09 16:37,195
2026-05-09 16:38,197
2026-05-09 16:39,197
2026-05-09 16:40,169
2026-05-09 16:41,154
2026-05-09 16:42,160
2026-05-09 16:43,188
2026-05-09 16:44,185
2026-05-09 16:45,198
2026-05-09 16:46,202
2026-05-09 16:47,194
2026-05-09 16:48,164
2026-05-09 16:49,147
2026-05-09 16:50,139
2026-05-09 16:51,126
2026-05-09 16:52,128
2026-05-09 16:53,147
2026-05-09 16:54,140
2026-05-09 16:55,124
2026-05-09 16:56,132
2026-05-09 16:57,135
2026-05-09 16:58,143
2026-05-09 16:59,131
2026-05-09 17:00,128
2026-05-09 17:01,161
2026-05-09 17:02,183
2026-05-09 17:03,173
2026-05-09 17:04,181
2026-05-09 17:05,170
2026-05-09 17:06,176
2026-05-09 17:07,165
2026-05-09 17:08,144
2026-05-09 17:09,171
2026-05-09 17:10,187
2026-05-09 17:11,192
2026-05-09 17:12,174
2026-05-09 17:13,168
2026-05-09 17:14,188
2026-05-09 17:15,193
2026-05-09 17:16,176
2026-05-09 17:17,173
2026-05-09 17:18,145
2026-05-09 17:19,134
2026-05-09 17:20,126
2026-05-09 17:21,121
2026-05-09 17:22,115
2026-05-09 17:23,121
2026-05-09 17:24,142
2026-05-09 17:25,156
2026-05-09 17:26,140
2026-05-09 17:27,178
2026-05-09 17:28,182
2026-05-09 17:29,182
2026-05-09 17:30,188
2026-05-09 17:31,164
2026-05-09 17:32,146
2026-05-09 17:33,168
2026-05-09 17:34,173
2026-05-09 17:35,180
2026-05-09 17:36,171
2026-05-09 17:37,184
2026-05-09 17:38,192
2026-05-09 17:39,198
2026-05-09 17:40,182
2026-05-09 17:41,146
2026-05-09 17:42,135
2026-05-09 17:43,145
2026-05-09 17:44,164

