Inicio,Fin,,,MEPs,Duración,Tiempo en la Zona,Esfuerzo medio,Frecuencia cardiaca media,Calorías,<span style='font-size:10px'>Frecuencia cardiaca máx.</span>,Fecha,Zona 0 Minutos,Zona 1 Minutos,Zona 2 Minutos,Zona 3 Minutos,Zona 4 Minutos,Zona 5 Minutos,Zona 0 MEPs,Zona 1 MEPs,Zona 2 MEPs,Zona 3 MEPs,Zona 4 MEPs,Zona 5 MEPs,Clase,
7:37 PM,9:00 PM,Workout,7601408,239,84,74,73%,140,750,178,2026-05-12,0,10,20,27,21,6,0,10,40,81,84,24,0

Tiempo,hr
2026-05-12 19:37,75
2026-05-12 19:38,125
2026-05-12 19:39,118
2026-05-12 19:40,147
2026-05-12 19:41,164
2026-05-12 19:42,162
2026-05-12 19:43,171
2026-05-12 19:44,177
2026-05-12 19:45,173
2026-05-12 19:46,140
2026-05-12 19:47,130
2026-05-12 19:48,129
2026-05-12 19:49,164
2026-05-12 19:50,172
2026-05-12 19:51,173
2026-05-12 19:52,164
2026-05-12 19:53,137
2026-05-12 19:54,146
2026-05-12 19:55,152
2026-05-12 19:56,151
2026-05-12 19:57,152
2026-05-12 19:58,153
2026-05-12 19:59,153
2026-05-12 20:00,153
2026-05-12 20:01,136
2026-05-12 20:02,129
2026-05-12 20:03,148
2026-05-12 20:04,162
2026-05-12 20:05,161
2026-05-12 20:06,161
2026-05-12 20:07,157
2026-05-12 20:08,169
2026-05-12 20:09,156
2026-05-12 20:10,144
2026-05-12 20:11,131
2026-05-12 20:12,144
2026-05-12 20:13,163
2026-05-12 20:14,136
2026-05-12 20:15,143
2026-05-12 20:16,124
2026-05-12 20:17,129
2026-05-12 20:18,151
2026-05-12 20:19,142
2026-05-12 20:20,123
2026-05-12 20:21,150
2026-05-12 20:22,126
2026-05-12 20:23,112
2026-05-12 20:24,112
2026-05-12 20:25,112
2026-05-12 20:26,108
2026-05-12 20:27,112
2026-05-12 20:28,106
2026-05-12 20:29,110
2026-05-12 20:30,106
2026-05-12 20:31,111
2026-05-12 20:32,115
2026-05-12 20:33,126
2026-05-12 20:34,134
2026-05-12 20:35,109
2026-05-12 20:36,113
2026-05-12 20:37,130
2026-05-12 20:38,125
2026-05-12 20:39,127
2026-05-12 20:40,151
2026-05-12 20:41,130
2026-05-12 20:42,120
2026-05-12 20:43,129
2026-05-12 20:44,130
2026-05-12 20:45,142
2026-05-12 20:46,140
2026-05-12 20:47,136
2026-05-12 20:48,134
2026-05-12 20:49,139
2026-05-12 20:50,147
2026-05-12 20:51,147
2026-05-12 20:52,158
2026-05-12 20:53,156
2026-05-12 20:54,146
2026-05-12 20:55,143
2026-05-12 20:56,141
2026-05-12 20:57,150
2026-05-12 20:58,152
2026-05-12 20:59,147
2026-05-12 21:00,137

