Inicio,Fin,,,MEPs,Duración,Tiempo en la Zona,Esfuerzo medio,Frecuencia cardiaca media,Calorías,<span style='font-size:10px'>Frecuencia cardiaca máx.</span>,Fecha,Zona 0 Minutos,Zona 1 Minutos,Zona 2 Minutos,Zona 3 Minutos,Zona 4 Minutos,Zona 5 Minutos,Zona 0 MEPs,Zona 1 MEPs,Zona 2 MEPs,Zona 3 MEPs,Zona 4 MEPs,Zona 5 MEPs,Clase,
8:06 PM,9:21 PM,Workout,7601408,224,75,68,78%,149,705,193,2026-05-08,4,3,18,15,10,25,0,3,36,45,40,100,0

Tiempo,hr
2026-05-08 20:06,80
2026-05-08 20:07,83
2026-05-08 20:08,74
2026-05-08 20:09,89
2026-05-08 20:10,104
2026-05-08 20:11,142
2026-05-08 20:12,115
2026-05-08 20:13,120
2026-05-08 20:14,140
2026-05-08 20:15,142
2026-05-08 20:16,143
2026-05-08 20:17,138
2026-05-08 20:18,139
2026-05-08 20:19,137
2026-05-08 20:20,133
2026-05-08 20:21,135
2026-05-08 20:22,131
2026-05-08 20:23,124
2026-05-08 20:24,122
2026-05-08 20:25,133
2026-05-08 20:26,153
2026-05-08 20:27,141
2026-05-08 20:28,132
2026-05-08 20:29,119
2026-05-08 20:30,118
2026-05-08 20:31,125
2026-05-08 20:32,154
2026-05-08 20:33,175
2026-05-08 20:34,184
2026-05-08 20:35,188
2026-05-08 20:36,188
2026-05-08 20:37,185
2026-05-08 20:38,183
2026-05-08 20:39,188
2026-05-08 20:40,187
2026-05-08 20:41,183
2026-05-08 20:42,157
2026-05-08 20:43,133
2026-05-08 20:44,125
2026-05-08 20:45,119
2026-05-08 20:46,112
2026-05-08 20:47,120
2026-05-08 20:48,157
2026-05-08 20:49,167
2026-05-08 20:50,172
2026-05-08 20:51,177
2026-05-08 20:52,181
2026-05-08 20:53,184
2026-05-08 20:54,178
2026-05-08 20:55,187
2026-05-08 20:56,186
2026-05-08 20:57,171
2026-05-08 20:58,176
2026-05-08 20:59,183
2026-05-08 21:00,180
2026-05-08 21:01,164
2026-05-08 21:02,134
2026-05-08 21:03,119
2026-05-08 21:04,117
2026-05-08 21:05,119
2026-05-08 21:06,134
2026-05-08 21:07,139
2026-05-08 21:08,119
2026-05-08 21:09,161
2026-05-08 21:10,178
2026-05-08 21:11,180
2026-05-08 21:12,185
2026-05-08 21:13,181
2026-05-08 21:14,172
2026-05-08 21:15,163
2026-05-08 21:16,167
2026-05-08 21:17,163
2026-05-08 21:18,170
2026-05-08 21:19,160
2026-05-08 21:20,124
2026-05-08 21:21,130

